dataset,LITETime-1,LITETime-2,LITETime-3,LITETime-4,LITETime-5,LITETime-6,LITETime-7,LITETime-8,LITETime-9,LITETime-10
AllGestureWiimoteZ,0.727142857142857,0.744698412698413,0.749059523809524,0.751795918367347,0.752414965986395,0.753931972789116,0.754392857142857,0.755555555555556,0.756571428571429,0.754285714285714
DodgerLoopDay,0.525,0.546944444444444,0.553854166666667,0.557023809523809,0.560664682539682,0.564880952380952,0.567916666666667,0.570555555555556,0.57125,0.575
DodgerLoopGame,0.78695652173913,0.80354267310789,0.805434782608696,0.807832988267771,0.808201058201058,0.809730848861284,0.809963768115942,0.810305958132045,0.813768115942029,0.811594202898551
DodgerLoopWeekend,0.970289855072464,0.970209339774557,0.970471014492754,0.970807453416149,0.970956981826547,0.971014492753623,0.971014492753623,0.971014492753623,0.971014492753623,0.971014492753623
MelbournePedestrian,0.899056990569906,0.905225274474967,0.907069154024874,0.909033757004237,0.909452546906421,0.910234483297214,0.910386770534372,0.910965331875541,0.911111111111111,0.911849118491185
GestureMidAirD1,0.709230769230769,0.725470085470086,0.731538461538461,0.733113553113553,0.735866910866911,0.735164835164835,0.736602564102564,0.734017094017094,0.733076923076923,0.730769230769231
GestureMidAirD2,0.671538461538462,0.687350427350428,0.691730769230769,0.690989010989011,0.690689865689866,0.689560439560439,0.689871794871795,0.688034188034188,0.689230769230769,0.684615384615385
GestureMidAirD3,0.382307692307692,0.396752136752137,0.408461538461538,0.412637362637363,0.41559829059829,0.414065934065934,0.415705128205128,0.414017094017094,0.413846153846154,0.407692307692308
GesturePebbleZ1,0.913953488372093,0.917700258397933,0.918556201550387,0.919158361018826,0.919250645994832,0.919407530454042,0.919815891472868,0.919638242894057,0.919186046511628,0.924418604651163
GesturePebbleZ2,0.89620253164557,0.89803094233474,0.897943037974683,0.899065702230259,0.898256982117742,0.898282097649186,0.898417721518987,0.89774964838256,0.89873417721519,0.89873417721519
PickupGestureWiimoteZ,0.758,0.775111111111111,0.777333333333333,0.779333333333333,0.779444444444444,0.779047619047619,0.779333333333333,0.78,0.78,0.78
PLAID,0.902420856610801,0.908835092075315,0.910567970204842,0.912343708433094,0.912934882208625,0.913673849428039,0.913640595903166,0.913718187461204,0.91340782122905,0.908752327746741
ShakeGestureWiimoteZ,0.922,0.931111111111111,0.932,0.937333333333333,0.943174603174603,0.946761904761905,0.9515,0.952444444444444,0.958,0.96
