dataset,FCN,ResNet,Inception,InceptionTime,LITE,LITETime,ROCKET,MultiROCKET
StarLightCurves,0.966270033997086,0.972292374939291,0.977634774162215,0.979844584749879,0.97442933462846,0.976687712481787,0.98096163,0.981665857212239
Strawberry,0.96972972972973,0.98,0.982702702702703,0.983783783783784,0.978378378378378,0.983783783783784,0.98135135,0.981081081081081
SwedishLeaf,0.96704,0.96256,0.96608,0.9696,0.95584,0.9616,0.964,0.9792
Symbols,0.964422110552764,0.893065326633166,0.981105527638191,0.981909547738693,0.98070351758794,0.982914572864322,0.97427136,0.982914572864322
SyntheticControl,0.987333333333333,0.996666666666667,0.995333333333333,0.996666666666667,0.998666666666666,1,0.99966667,0.993333333333333
ToeSegmentation1,0.959649122807017,0.957017543859649,0.964912280701754,0.973684210526316,0.969298245614035,0.978070175438596,0.96842105,0.956140350877193
ToeSegmentation2,0.887692307692308,0.893846153846154,0.947692307692308,0.953846153846154,0.927692307692308,0.938461538461538,0.92384615,0.907692307692308
Trace,1,1,1,1,1,1,1,1
TwoLeadECG,0.99964881474978,1,0.995961369622476,0.995610184372256,0.997892888498683,0.998244073748903,0.99912204,0.998244073748903
TwoPatterns,0.86945,0.99995,1,1,1,1,1,1
UMD,0.986111111111111,0.990277777777778,0.983333333333333,0.986111111111111,0.954166666666667,0.965277777777778,0.99236111,0.993055555555556
UWaveGestureLibraryAll,0.814461194863205,0.860804020100503,0.946231155778894,0.951982132886656,0.890954773869347,0.912339475153546,0.97537688,0.979899497487437
UWaveGestureLibraryX,0.750753768844221,0.781239530988275,0.812227805695142,0.821887213847013,0.809268565047459,0.829424902289224,0.85474595,0.869625907314349
UWaveGestureLibraryY,0.643439419318816,0.665829145728643,0.754383026242323,0.766890005583473,0.723841429369068,0.761585706309324,0.77398102,0.797319932998325
UWaveGestureLibraryZ,0.726465661641541,0.748632049134562,0.75499720826354,0.761027359017309,0.756169737576773,0.780848687883864,0.79190396,0.815466219988833
Wafer,0.997242050616483,0.99805321219987,0.998734587929916,0.99870214146658,0.999026606099935,0.999026606099935,0.99823167,0.999513303049968
Wine,0.625925925925926,0.722222222222222,0.666666666666667,0.666666666666667,0.640740740740741,0.666666666666667,0.81296296,0.888888888888889
WordSynonyms,0.564263322884013,0.616614420062696,0.729153605015674,0.760188087774295,0.678683385579937,0.717868338557994,0.75344828,0.775862068965517
Worms,0.776623376623377,0.761038961038961,0.768831168831169,0.792207792207792,0.81038961038961,0.818181818181818,0.74025974,0.753246753246753
WormsTwoClass,0.732467532467533,0.748051948051948,0.758441558441558,0.779220779220779,0.784415584415584,0.766233766233766,0.7974026,0.792207792207792
Yoga,0.8424,0.866733333333333,0.8998,0.907666666666667,0.906733333333333,0.917666666666667,0.91036667,0.919
